iter	Passed	Remaining
711	31078	12571
712	31121	12527
713	31164	12483
714	31206	12438
715	31248	12394
716	31289	12350
717	31333	12306
718	31376	12262
719	31420	12219
720	31461	12174
721	31506	12131
722	31550	12087
723	31593	12043
724	31642	12002
725	31684	11958
726	31727	11914
727	31769	11869
728	31813	11826
729	31857	11782
730	31903	11740
731	31944	11695
732	31989	11652
733	32036	11609
734	32078	11565
735	32121	11521
736	32163	11477
737	32205	11433
738	32249	11389
739	32290	11345
740	32335	11301
741	32378	11258
742	32421	11214
743	32463	11170
744	32505	11126
745	32550	11082
746	32592	11038
747	32634	10994
748	32676	10950
749	32718	10906
750	32761	10862
751	32805	10818
752	32849	10775
753	32890	10730
754	32933	10687
755	32978	10643
756	33022	10600
757	33065	10556
758	33108	10512
759	33153	10469
760	33195	10425
761	33239	10381
762	33283	10338
763	33326	10294
764	33369	10250
765	33409	10205
766	33451	10161
767	33495	10118
768	33538	10074
769	33583	10031
770	33623	9986
771	33666	9942
772	33707	9898
773	33747	9853
774	33789	9809
775	33830	9765
776	33873	9721
777	33915	9677
778	33959	9634
779	34001	9590
780	34047	9547
781	34089	9503
782	34131	9459
783	34175	9415
784	34218	9372
785	34261	9328
786	34304	9284
787	34347	9240
788	34397	9198
789	34442	9155
790	34484	9111
791	34528	9068
792	34573	9024
793	34616	8981
794	34658	8937
795	34700	8893
796	34743	8849
797	34790	8806
798	34830	8762
799	34874	8718
800	34916	8674
801	34959	8631
802	35001	8586
803	35042	8542
804	35083	8498
805	35124	8454
806	35165	8409
807	35207	8366
808	35250	8322
809	35292	8278
810	35334	8234
811	35376	8190
812	35420	8147
813	35462	8103
814	35503	8059
815	35546	8015
816	35590	7971
817	35634	7928
818	35675	7884
819	35718	7840
820	35760	7796
821	35802	7752
822	35844	7709
823	35887	7665
824	35929	7621
825	35973	7577
826	36014	7533
827	36056	7489
828	36097	7445
829	36144	7403
830	36184	7358
831	36228	7315
832	36271	7271
833	36314	7228
834	36356	7184
835	36397	7140
836	36439	7096
837	36481	7052
838	36523	7008
839	36566	6965
840	36609	6921
841	36651	6877
842	36692	6833
843	36735	6790
844	36777	6746
845	36820	6702
846	36862	6658
847	36904	6614
848	36949	6571
849	36989	6527
850	37033	6484
851	37073	6439
852	37117	6396
853	37159	6352
854	37202	6309
855	37246	6265
856	37288	6221
857	37331	6178
858	37374	6134
859	37414	6090
860	37459	6047
861	37500	6003
862	37538	5959
863	37584	5916
864	37628	5872
865	37675	5829
866	37715	5785
867	37757	5741
868	37800	5698
869	37842	5654
870	37885	5611
871	37928	5567
872	37969	5523
873	38014	5480
874	38058	5436
875	38106	5394
876	38148	5350
877	38193	5307
878	38235	5263
879	38283	5220
880	38326	5176
881	38370	5133
882	38422	5091
883	38470	5048
884	38525	5006
885	38576	4963
886	38624	4920
887	38674	4877
888	38727	4835
889	38780	4793
890	38833	4750
891	38885	4708
892	38936	4665
893	39007	4625
894	39079	4584
895	39146	4543
896	39187	4499
897	39230	4456
898	39271	4412
899	39315	4368
900	39361	4324
901	39403	4281
902	39445	4237
903	39494	4194
904	39537	4150
905	39580	4106
906	39622	4062
907	39664	4018
908	39708	3975
909	39757	3932
910	39861	3894
911	39913	3851
912	39972	3809
913	40025	3766
914	40067	3722
915	40111	3678
916	40153	3634
917	40201	3591
918	40248	3547
919	40309	3505
920	40367	3462
921	40424	3419
922	40481	3377
923	40526	3333
924	40569	3289
925	40616	3245
926	40665	3202
927	40842	3168
928	40937	3128
929	41020	3087
930	41123	3047
931	41260	3010
932	41448	2976
933	41567	2937
934	41627	2893
935	41697	2851
936	41748	2806
937	41788	2762
938	41830	2717
939	41874	2672
940	41930	2629
941	42009	2586
942	42074	2543
943	42139	2499
944	42194	2455
945	42257	2412
946	42321	2368
947	42377	2324
948	42433	2280
949	42514	2237
950	42585	2194
951	42660	2150
952	42727	2107
953	42788	2063
954	42835	2018
955	42877	1973
956	42915	1928
957	42958	1883
958	42998	1838
959	43038	1793
960	43080	1748
961	43121	1703
962	43164	1658
963	43211	1613
964	43253	1568
965	43294	1523
966	43336	1478
967	43377	1433
968	43415	1388
969	43456	1344
970	43501	1299
971	43543	1254
972	43581	1209
973	43626	1164
974	43674	1119
975	43723	1075
976	43798	1031
977	43852	986
978	43904	941
979	43964	897
980	44056	853
981	44139	809
982	44204	764
983	44257	719
984	44310	674
985	44358	629
986	44403	584
987	44445	539
988	44502	494
989	44574	450
990	44642	405
991	44718	360
992	44801	315
993	44894	270
994	44962	225
995	45038	180
996	45103	135
997	45163	90
998	45228	45
999	45301	0
